Pokedex with Leading 0,Pokedex Name,Full Name,Prefix,Name,Suffix,Form,National Pokedex,Deck: 1 - 97,Rename,Regional Pokedex,Type,,Generation,Images pokemondb,Images pokedex,Images bulbapedia
441, Chatot,Chatot,,Chatot,,,441,,441 - Chatot,102,Normal,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/chatot.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/441.png,https://bulbapedia.bulbagarden.net/wiki/File:441Chatot.png
442, Spiritomb,Spiritomb,,Spiritomb,,,442,,442 - Spiritomb,108,Ghost,Dark,IV - Sinnoh,https://img.pokemondb.net/artwork/large/spiritomb.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/442.png,https://bulbapedia.bulbagarden.net/wiki/File:442Spiritomb.png
443, Gible,Gible,,Gible,,,443,,443 - Gible,109,Dragon,Ground,IV - Sinnoh,https://img.pokemondb.net/artwork/large/gible.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/443.png,https://bulbapedia.bulbagarden.net/wiki/File:443Gible.png
444, Gabite,Gabite,,Gabite,,,444,,444 - Gabite,110,Dragon,Ground,IV - Sinnoh,https://img.pokemondb.net/artwork/large/gabite.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/444.png,https://bulbapedia.bulbagarden.net/wiki/File:444Gabite.png
445, Garchomp,Garchomp,,Garchomp,,,445,,445 - Garchomp,111,Dragon,Ground,IV - Sinnoh,https://img.pokemondb.net/artwork/large/garchomp.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/445.png,https://bulbapedia.bulbagarden.net/wiki/File:445Garchomp.png
445,Mega Garchomp,Garchomp Mega,,Garchomp,Mega,,445,,445 - Garchomp Mega,111,Dragon,Ground,IV - Sinnoh,https://img.pokemondb.net/artwork/large/garchomp-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/445.png,https://bulbapedia.bulbagarden.net/wiki/File:445Garchomp-Mega.png
446, Munchlax,Munchlax,,Munchlax,,,446,,446 - Munchlax,112,Normal,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/munchlax.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/446.png,https://bulbapedia.bulbagarden.net/wiki/File:446Munchlax.png
447, Riolu,Riolu,,Riolu,,,447,,447 - Riolu,115,Fighting,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/riolu.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/447.png,https://bulbapedia.bulbagarden.net/wiki/File:447Riolu.png
448, Lucario,Lucario,,Lucario,,,448,,448 - Lucario,116,Fighting,Steel,IV - Sinnoh,https://img.pokemondb.net/artwork/large/lucario.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/448.png,https://bulbapedia.bulbagarden.net/wiki/File:448Lucario.png
448,Mega Lucario,Lucario Mega,,Lucario,Mega,,448,,448 - Lucario Mega,116,Fighting,Steel,IV - Sinnoh,https://img.pokemondb.net/artwork/large/lucario-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/448.png,https://bulbapedia.bulbagarden.net/wiki/File:448Lucario-Mega.png
449, Hippopotas,Hippopotas,,Hippopotas,,,449,,449 - Hippopotas,122,Ground,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/hippopotas.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/449.png,https://bulbapedia.bulbagarden.net/wiki/File:449Hippopotas.png
450, Hippowdon,Hippowdon,,Hippowdon,,,450,,450 - Hippowdon,123,Ground,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/hippowdon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/450.png,https://bulbapedia.bulbagarden.net/wiki/File:450Hippowdon.png
451, Skorupi,Skorupi,,Skorupi,,,451,,451 - Skorupi,127,Poison,Bug,IV - Sinnoh,https://img.pokemondb.net/artwork/large/skorupi.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/451.png,https://bulbapedia.bulbagarden.net/wiki/File:451Skorupi.png
452, Drapion,Drapion,,Drapion,,,452,,452 - Drapion,128,Poison,Dark,IV - Sinnoh,https://img.pokemondb.net/artwork/large/drapion.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/452.png,https://bulbapedia.bulbagarden.net/wiki/File:452Drapion.png
453, Croagunk,Croagunk,,Croagunk,,,453,,453 - Croagunk,129,Poison,Fighting,IV - Sinnoh,https://img.pokemondb.net/artwork/large/croagunk.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/453.png,https://bulbapedia.bulbagarden.net/wiki/File:453Croagunk.png
454, Toxicroak,Toxicroak,,Toxicroak,,,454,,454 - Toxicroak,130,Poison,Fighting,IV - Sinnoh,https://img.pokemondb.net/artwork/large/toxicroak.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/454.png,https://bulbapedia.bulbagarden.net/wiki/File:454Toxicroak.png
455, Carnivine,Carnivine,,Carnivine,,,455,,455 - Carnivine,131,Grass,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/carnivine.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/455.png,https://bulbapedia.bulbagarden.net/wiki/File:455Carnivine.png
456, Finneon,Finneon,,Finneon,,,456,,456 - Finneon,134,Water,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/finneon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/456.png,https://bulbapedia.bulbagarden.net/wiki/File:456Finneon.png
457, Lumineon,Lumineon,,Lumineon,,,457,,457 - Lumineon,135,Water,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/lumineon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/457.png,https://bulbapedia.bulbagarden.net/wiki/File:457Lumineon.png
458, Mantyke,Mantyke,,Mantyke,,,458,,458 - Mantyke,140,Water,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/mantyke.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/458.png,https://bulbapedia.bulbagarden.net/wiki/File:458Mantyke.png
459, Snover,Snover,,Snover,,,459,,459 - Snover,142,Grass,Ice,IV - Sinnoh,https://img.pokemondb.net/artwork/large/snover.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/459.png,https://bulbapedia.bulbagarden.net/wiki/File:459Snover.png
460, Abomasnow,Abomasnow,,Abomasnow,,,460,,460 - Abomasnow,143,Grass,Ice,IV - Sinnoh,https://img.pokemondb.net/artwork/large/abomasnow.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/460.png,https://bulbapedia.bulbagarden.net/wiki/File:460Abomasnow.png
460,Mega Abomasnow,Abomasnow Mega,,Abomasnow,Mega,,460,,460 - Abomasnow Mega,143,Grass,Ice,IV - Sinnoh,https://img.pokemondb.net/artwork/large/abomasnow-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/460.png,https://bulbapedia.bulbagarden.net/wiki/File:460Abomasnow-Mega.png
461, Weavile,Weavile,,Weavile,,,461,,461 - Weavile,145,Dark,Ice,IV - Sinnoh,https://img.pokemondb.net/artwork/large/weavile.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/461.png,https://bulbapedia.bulbagarden.net/wiki/File:461Weavile.png
462, Magnezone,Magnezone,,Magnezone,,,462,,462 - Magnezone,180,Electric,Steel,IV - Sinnoh,https://img.pokemondb.net/artwork/large/magnezone.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/462.png,https://bulbapedia.bulbagarden.net/wiki/File:462Magnezone.png
463, Lickilicky,Lickilicky,,Lickilicky,,,463,,463 - Lickilicky,162,Normal,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/lickilicky.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/463.png,https://bulbapedia.bulbagarden.net/wiki/File:463Lickilicky.png
464, Rhyperior,Rhyperior,,Rhyperior,,,464,,464 - Rhyperior,188,Ground,Rock,IV - Sinnoh,https://img.pokemondb.net/artwork/large/rhyperior.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/464.png,https://bulbapedia.bulbagarden.net/wiki/File:464Rhyperior.png
465, Tangrowth,Tangrowth,,Tangrowth,,,465,,465 - Tangrowth,182,Grass,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/tangrowth.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/465.png,https://bulbapedia.bulbagarden.net/wiki/File:465Tangrowth.png
466, Electivire,Electivire,,Electivire,,,466,,466 - Electivire,199,Electric,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/electivire.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/466.png,https://bulbapedia.bulbagarden.net/wiki/File:466Electivire.png
467, Magmortar,Magmortar,,Magmortar,,,467,,467 - Magmortar,202,Fire,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/magmortar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/467.png,https://bulbapedia.bulbagarden.net/wiki/File:467Magmortar.png
468, Togekiss,Togekiss,,Togekiss,,,468,,468 - Togekiss,175,Fairy,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/togekiss.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/468.png,https://bulbapedia.bulbagarden.net/wiki/File:468Togekiss.png
469, Yanmega,Yanmega,,Yanmega,,,469,,469 - Yanmega,184,Bug,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/yanmega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/469.png,https://bulbapedia.bulbagarden.net/wiki/File:469Yanmega.png
470, Leafeon,Leafeon,,Leafeon,,,470,,470 - Leafeon,169,Grass,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/leafeon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/470.png,https://bulbapedia.bulbagarden.net/wiki/File:470Leafeon.png
471, Glaceon,Glaceon,,Glaceon,,,471,,471 - Glaceon,170,Ice,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/glaceon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/471.png,https://bulbapedia.bulbagarden.net/wiki/File:471Glaceon.png
472, Gliscor,Gliscor,,Gliscor,,,472,,472 - Gliscor,154,Ground,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/gliscor.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/472.png,https://bulbapedia.bulbagarden.net/wiki/File:472Gliscor.png
473, Mamoswine,Mamoswine,,Mamoswine,,,473,,473 - Mamoswine,205,Ice,Ground,IV - Sinnoh,https://img.pokemondb.net/artwork/large/mamoswine.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/473.png,https://bulbapedia.bulbagarden.net/wiki/File:473Mamoswine.png
474, Porygon-Z,Porygon-Z,,Porygon-Z,,,474,,474 - Porygon-Z,194,Normal,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/porygon-z.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/474.png,https://bulbapedia.bulbagarden.net/wiki/File:474Porygon-Z.png
475, Gallade,Gallade,,Gallade,,,475,,475 - Gallade,160,Psychic,Fighting,IV - Sinnoh,https://img.pokemondb.net/artwork/large/gallade.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/475.png,https://bulbapedia.bulbagarden.net/wiki/File:475Gallade.png
475,Mega Gallade,Gallade Mega,,Gallade,Mega,,475,,475 - Gallade Mega,160,Psychic,Fighting,IV - Sinnoh,https://img.pokemondb.net/artwork/large/gallade-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/475.png,https://bulbapedia.bulbagarden.net/wiki/File:475Gallade-Mega.png
476, Probopass,Probopass,,Probopass,,,476,,476 - Probopass,156,Rock,Steel,IV - Sinnoh,https://img.pokemondb.net/artwork/large/probopass.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/476.png,https://bulbapedia.bulbagarden.net/wiki/File:476Probopass.png
477, Dusknoir,Dusknoir,,Dusknoir,,,477,,477 - Dusknoir,191,Ghost,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/dusknoir.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/477.png,https://bulbapedia.bulbagarden.net/wiki/File:477Dusknoir.png
478, Froslass,Froslass,,Froslass,,,478,,478 - Froslass,208,Ice,Ghost,IV - Sinnoh,https://img.pokemondb.net/artwork/large/froslass.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/478.png,https://bulbapedia.bulbagarden.net/wiki/File:478Froslass.png
479, Rotom,Rotom,,Rotom,,,479,,479 - Rotom,152,Electric,Ghost,IV - Sinnoh,https://img.pokemondb.net/artwork/large/rotom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png,https://bulbapedia.bulbagarden.net/wiki/File:479Rotom.png
479, Rotom,Heat Rotom,Heat,Rotom,,,479,,479 - Heat Rotom,152,Electric,Fire,IV - Sinnoh,https://img.pokemondb.net/artwork/large/heat-rotom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png,https://bulbapedia.bulbagarden.net/wiki/File:479Rotom-Heat.png
479, Rotom,Fan Rotom,Fan,Rotom,,,479,,479 - Fan Rotom,152,Electric,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/fan-rotom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png,https://bulbapedia.bulbagarden.net/wiki/File:479Rotom-Fan.png
479, Rotom,Frost Rotom,Frost,Rotom,,,479,,479 - Frost Rotom,152,Electric,Ice,IV - Sinnoh,https://img.pokemondb.net/artwork/large/frost-rotom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png,https://bulbapedia.bulbagarden.net/wiki/File:479Rotom-Frost.png
479, Rotom,Mow Rotom,Mow,Rotom,,,479,,479 - Mow Rotom,152,Electric,Grass,IV - Sinnoh,https://img.pokemondb.net/artwork/large/mow-rotom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png,https://bulbapedia.bulbagarden.net/wiki/File:479Rotom-Mow.png
479, Rotom,Wash Rotom,Wash,Rotom,,,479,,479 - Wash Rotom,152,Electric,Water,IV - Sinnoh,https://img.pokemondb.net/artwork/large/wash-rotom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png,https://bulbapedia.bulbagarden.net/wiki/File:479Rotom-Wash.png
480, Uxie,Uxie,,Uxie,,,480,,480 - Uxie,146,Psychic,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/uxie.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/480.png,https://bulbapedia.bulbagarden.net/wiki/File:480Uxie.png
481, Mesprit,Mesprit,,Mesprit,,,481,,481 - Mesprit,147,Psychic,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/mesprit.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/481.png,https://bulbapedia.bulbagarden.net/wiki/File:481Mesprit.png
482, Azelf,Azelf,,Azelf,,,482,,482 - Azelf,148,Psychic,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/azelf.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/482.png,https://bulbapedia.bulbagarden.net/wiki/File:482Azelf.png
483, Dialga,Dialga,,Dialga,,,483,,483 - Dialga,149,Steel,Dragon,IV - Sinnoh,https://img.pokemondb.net/artwork/large/dialga.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/483.png,https://bulbapedia.bulbagarden.net/wiki/File:483Dialga.png
483,Origin Dialga,Dialga Origin,,Dialga,Origin,,483,,483 - Dialga Origin,149,Steel,Dragon,IV - Sinnoh,https://img.pokemondb.net/artwork/large/dialga-origin.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/483.png,https://bulbapedia.bulbagarden.net/wiki/File:483Dialga-Origin.png
484, Palkia,Palkia,,Palkia,,,484,,484 - Palkia,150,Water,Dragon,IV - Sinnoh,https://img.pokemondb.net/artwork/large/palkia.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/484.png,https://bulbapedia.bulbagarden.net/wiki/File:484Palkia.png
484,Origin Palkia,Palkia Origin,,Palkia,Origin,,484,,484 - Palkia Origin,150,Water,Dragon,IV - Sinnoh,https://img.pokemondb.net/artwork/large/palkia-origin.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/484.png,https://bulbapedia.bulbagarden.net/wiki/File:484Palkia-Origin.png
485, Heatran,Heatran,,Heatran,,,485,,485 - Heatran,,Fire,Steel,IV - Sinnoh,https://img.pokemondb.net/artwork/large/heatran.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/485.png,https://bulbapedia.bulbagarden.net/wiki/File:485Heatran.png
486, Regigigas,Regigigas,,Regigigas,,,486,,486 - Regigigas,,Normal,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/regigigas.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/486.png,https://bulbapedia.bulbagarden.net/wiki/File:486Regigigas.png
487,Altered Giratina,Giratina Altered,,Giratina,Altered,,487,,487 - Giratina Altered,210,Ghost,Dragon,IV - Sinnoh,https://img.pokemondb.net/artwork/large/giratina-altered.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/487.png,https://bulbapedia.bulbagarden.net/wiki/File:487Giratina-Altered.png
487,Origin Giratina,Giratina Origin,,Giratina,Origin,,487,,487 - Giratina Origin,210,Ghost,Dragon,IV - Sinnoh,https://img.pokemondb.net/artwork/large/giratina-origin.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/487.png,https://bulbapedia.bulbagarden.net/wiki/File:487Giratina-Origin.png
488, Cresselia,Cresselia,,Cresselia,,,488,,488 - Cresselia,,Psychic,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/cresselia.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/488.png,https://bulbapedia.bulbagarden.net/wiki/File:488Cresselia.png
489, Phione,Phione,,Phione,,,489,,489 - Phione,,Water,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/phione.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/489.png,https://bulbapedia.bulbagarden.net/wiki/File:489Phione.png
490, Manaphy,Manaphy,,Manaphy,,,490,,490 - Manaphy,151,Water,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/manaphy.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/490.png,https://bulbapedia.bulbagarden.net/wiki/File:490Manaphy.png
491, Darkrai,Darkrai,,Darkrai,,,491,,491 - Darkrai,,Dark,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/darkrai.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/491.png,https://bulbapedia.bulbagarden.net/wiki/File:491Darkrai.png
492,Land Shaymin,Shaymin Land,,Shaymin,Land,,492,,492 - Shaymin Land,,Grass,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/shaymin-land.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/492.png,https://bulbapedia.bulbagarden.net/wiki/File:492Shaymin-Land.png
492,Sky Shaymin,Shaymin Sky,,Shaymin,Sky,,492,,492 - Shaymin Sky,,Grass,Flying,IV - Sinnoh,https://img.pokemondb.net/artwork/large/shaymin-sky.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/492.png,https://bulbapedia.bulbagarden.net/wiki/File:492Shaymin-Sky.png
493, Arceus,Arceus,,Arceus,,,493,,493 - Arceus,,Normal,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus.png
493,Bug Arceus,Arceus Bug,,Arceus,Bug,,493,,493 - Arceus Bug,,Bug,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-bug.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Bug.png
493,Dark Arceus,Arceus Dark,,Arceus,Dark,,493,,493 - Arceus Dark,,Dark,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-dark.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Dark.png
493,Dragon Arceus,Arceus Dragon,,Arceus,Dragon,,493,,493 - Arceus Dragon,,Dragon,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-dragon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Dragon.png
493,Electric Arceus,Arceus Electric,,Arceus,Electric,,493,,493 - Arceus Electric,,Electric,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-electric.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Electric.png
493,Fairy Arceus,Arceus Fairy,,Arceus,Fairy,,493,,493 - Arceus Fairy,,Fairy,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-fairy.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Fairy.png
493,Fighting Arceus,Arceus Fighting,,Arceus,Fighting,,493,,493 - Arceus Fighting,,Fighting,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-fighting.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Fighting.png
493,Fire Arceus,Arceus Fire,,Arceus,Fire,,493,,493 - Arceus Fire,,Fire,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-fire.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Fire.png
493,Flying Arceus,Arceus Flying,,Arceus,Flying,,493,,493 - Arceus Flying,,Flying,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-flying.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Flying.png
493,Ghost Arceus,Arceus Ghost,,Arceus,Ghost,,493,,493 - Arceus Ghost,,Ghost,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-ghost.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Ghost.png
493,Grass Arceus,Arceus Grass,,Arceus,Grass,,493,,493 - Arceus Grass,,Grass,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-grass.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Grass.png
493,Ground Arceus,Arceus Ground,,Arceus,Ground,,493,,493 - Arceus Ground,,Ground,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-ground.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Ground.png
493,Ice Arceus,Arceus Ice,,Arceus,Ice,,493,,493 - Arceus Ice,,Ice,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-ice.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Ice.png
493,Poison Arceus,Arceus Poison,,Arceus,Poison,,493,,493 - Arceus Poison,,Poison,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-poison.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Poison.png
493,Psychic Arceus,Arceus Psychic,,Arceus,Psychic,,493,,493 - Arceus Psychic,,Psychic,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-psychic.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Psychic.png
493,Rock Arceus,Arceus Rock,,Arceus,Rock,,493,,493 - Arceus Rock,,Rock,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-rock.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Rock.png
493,Steel Arceus,Arceus Steel,,Arceus,Steel,,493,,493 - Arceus Steel,,Steel,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-steel.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Steel.png
493,Water Arceus,Arceus Water,,Arceus,Water,,493,,493 - Arceus Water,,Water,,IV - Sinnoh,https://img.pokemondb.net/artwork/large/arceus-water.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,https://bulbapedia.bulbagarden.net/wiki/File:493Arceus-Water.png
494, Victini,Victini,,Victini,,,494,,494 - Victini,000,Psychic,Fire,V - Unova,https://img.pokemondb.net/artwork/large/victini.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/494.png,https://bulbapedia.bulbagarden.net/wiki/File:494Victini.png
495, Snivy,Snivy,,Snivy,,,495,,495 - Snivy,001,Grass,,V - Unova,https://img.pokemondb.net/artwork/large/snivy.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/495.png,https://bulbapedia.bulbagarden.net/wiki/File:495Snivy.png
496, Servine,Servine,,Servine,,,496,,496 - Servine,002,Grass,,V - Unova,https://img.pokemondb.net/artwork/large/servine.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/496.png,https://bulbapedia.bulbagarden.net/wiki/File:496Servine.png
497, Serperior,Serperior,,Serperior,,,497,,497 - Serperior,003,Grass,,V - Unova,https://img.pokemondb.net/artwork/large/serperior.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/497.png,https://bulbapedia.bulbagarden.net/wiki/File:497Serperior.png
498, Tepig,Tepig,,Tepig,,,498,,498 - Tepig,004,Fire,,V - Unova,https://img.pokemondb.net/artwork/large/tepig.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/498.png,https://bulbapedia.bulbagarden.net/wiki/File:498Tepig.png
499, Pignite,Pignite,,Pignite,,,499,,499 - Pignite,005,Fire,Fighting,V - Unova,https://img.pokemondb.net/artwork/large/pignite.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/499.png,https://bulbapedia.bulbagarden.net/wiki/File:499Pignite.png
500, Emboar,Emboar,,Emboar,,,500,,500 - Emboar,006,Fire,Fighting,V - Unova,https://img.pokemondb.net/artwork/large/emboar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/500.png,https://bulbapedia.bulbagarden.net/wiki/File:500Emboar.png
501, Oshawott,Oshawott,,Oshawott,,,501,,501 - Oshawott,007,Water,,V - Unova,https://img.pokemondb.net/artwork/large/oshawott.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/501.png,https://bulbapedia.bulbagarden.net/wiki/File:501Oshawott.png
502, Dewott,Dewott,,Dewott,,,502,,502 - Dewott,008,Water,,V - Unova,https://img.pokemondb.net/artwork/large/dewott.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/502.png,https://bulbapedia.bulbagarden.net/wiki/File:502Dewott.png
503, Samurott,Samurott,,Samurott,,,503,,503 - Samurott,009,Water,,V - Unova,https://img.pokemondb.net/artwork/large/samurott.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/503.png,https://bulbapedia.bulbagarden.net/wiki/File:503Samurott.png
